lat,lon,amenity,name
43.4719565571643,-80.5453206550684,pharmacy,Student Health Pharmacy
45.4309938261602,-75.5672190092304,pharmacy,PharmaChoice
45.5173886167406,-73.4549810020664,hospital,Clinique Medicale
43.6709719398885,-79.3898030505941,pharmacy,Markie Pharmacy
46.0706188689879,-72.8126135681584,doctors,Durand Chiropratique
46.8349324328725,-71.3553961482951,pharmacy,Pharmaprix
46.8356938449568,-71.3564533577423,pharmacy,Proxim
46.837519591106,-71.3569899671835,pharmacy,Brunet
42.98480637969,-79.2372859404488,pharmacy,Remedy'sRx
45.5172526622711,-73.5803392371869,pharmacy,Pharmacie Louise Dadashzadeh
43.1722522214638,-79.2519850325871,pharmacy,Shoppers Drug Mart
46.8420616606167,-71.2495779734907,pharmacy,Jean Coutu
46.8110629519291,-71.320500357546,pharmacy,Clinique médicale Les Saules
43.4346732651153,-80.5151241783335,dentist,Dr. Michael C. Bensky
43.4370329384967,-80.5114618733799,dentist,Denture Clinic
43.4879318778798,-79.9851499355363,pharmacy,Campbellville Pharmacy
43.3398839985067,-79.7856363324875,pharmacy,Shoppers Drug Mart
44.0555899838787,-79.4792510332244,pharmacy,Shoppers Drug Mart
43.2354346723096,-79.7980994681352,pharmacy,Rexall
43.3737286985978,-79.8105661241823,pharmacy,Shoppers Drug Mart
43.4581155204539,-80.4850814257029,dentist,Ostner Dental Arts Inc.
46.8122553614746,-71.2992018577631,pharmacy,Familiprix
46.7727100452161,-71.3157681026523,pharmacy,Familiprix
46.7614146763185,-71.3341519632447,pharmacy,Pharmacie Brunet
43.3252653726389,-79.79748356589,pharmacy,Pharmasave
50.2647049522558,-119.27821105778,pharmacy,Shoppers Drug Mart
44.9430499662744,-65.0684928436972,pharmacy,Middleton Pharmasave
43.7733671968939,-79.2722993292994,clinic,BioMedNova Laser Rehab Clinic
43.6721602423015,-79.3770146132842,dentist,Bloor East Dental
45.1355383609974,-76.1401002143728,pharmacy,I.D.A.
45.477998617148,-73.5836113645478,pharmacy,Pharmacy Matthieu Omiccioli and Suzanne Paquette
49.9267771264273,-56.2215565691554,hospital,Baie Verte Health Center
49.9362524488697,-56.1987041483431,pharmacy,Shopper's Drug Mart
45.6067134692133,-73.5849121521013,pharmacy,Brunet Geneviève Deschênes
50.9786185514532,-114.060616477688,pharmacy,Shoppers Drug Mart
45.4323300691642,-73.6363112396467,pharmacy,Uniprix
45.613717136048,-73.7305815826299,pharmacy,Familiprix Extra
50.6715772844477,-120.333282868289,pharmacy,Columbia Street Pharmacy
50.6755551680558,-120.334693374955,dentist,Kamloops Dental Centre
46.8438899213369,-71.3897181139529,pharmacy,Uniprix
49.227543676267,-122.996012257019,pharmacy,Shoppers Drug Mart
43.7090814361334,-79.3859680784351,clinic,The Doctor's Office Therapy Centre
49.2106080409049,-123.13046686874,dentist,Love My Smile
